id,title,body,category,priority,title_length,body_length
1,,"L'utente admin_01 segnala lentezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente test. - negoziazione per login fallito - bug",Amministrazione,media,0,295
2,,Richiesta estrazione dati statistici su utilizzo licenze Linea Premium. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza oeprativa immediata. Elaborazione da fare offline quando le risorse lo permettono. per preventivo - preventivo,Amministrazione,bassa,0,284
3,,"Mancato allineamento incassi: il bonifico di 1005.26 non risutla in contabilità. In banca è presente, ma il modulo fatzione non lo ha importato automaticamente. Necessario inserimento manuale o forzatura sync per chiudere la posizione del cliente Spallanzani-Geraci s.r.l.. Il pb. riguarda solo i bonifici di ieri. - relativo a analisi con ordine urgente login fallito per disponibilità",Amministrazione,alta,0,386
4,,"err di stampa isolato: impossibile stampare la fat 5176/22. Il sistema genera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolarmente. Il cliente Rossellini Group è in attesa del cartaceo per il ritrio merce.",Amministrazione,media,0,262
5,,Richiesta estrazione dati statistici su utilizzo ilcenze Linea Accessori. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.,Amministrazione,bassa,0,258
6,,"L'account operatore_23 risulta bloccato per troppi tentativi di accesso errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un problema di sistema generalizzato, solo utenza singola. con disponibilità preventivo con condizioni commerciali",Amministrazione,alta,0,310
7,,"Nota di aggiornamento anagrafica per cliente Riccati, Mercalli e Cassarà s.r.l. nel sitsema vendite. Inseriti dati nuovo referente mario.rossi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti. listino bug",Amministrazione,media,0,315
8,,"Data entry: modifica scheda informativa cliente Vismara-Palumbo SPA. Aggiornamento campi email jmortati@papafava-maderno.com e referente operatore_23. Modifica puramente formale per completezza anagrafica. Attiivtà amministrativa standard di basso livello, gestibile in background.",Amministrazione,bassa,0,281
9,,"L'account operatore_23 risulta bloccato per troppi tentativi di accesso errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un problema di sys generalizzato, solo utenza singola.",Amministrazione,alta,0,250
10,,"Duplicazione righe in visualizzazione estratto conto Meucci-Scarfoglio s.r..l. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è sloo un err visivo che confonde gli operatori. Richiesta pulizia della view nel modulo ordini. per listino - crash buga",Amministrazione,media,0,279
11,,"Prolbema di visualizzazione anagrafica clienet Orlando-Stucchi Group. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollectio pagamenti. Bug dell'interfaccia magazzino da correggere.",Amministrazione,media,0,254
12,,"Monitoraggio passivo dei log modulo gestione utenti per statistiche uitlizzo. Analsii a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per fuutre ottimizzazioni, senza impatto attuale.",Amministrazione,bassa,0,268
13,,"Durante l'elaborazione della doc 4210/23 per il cliente Juvara, Lernre e Casagrande s.r.l., il sys clienti si è bloccato generando error 502. L'operazione di registrazione pagamento di 521.26 non può essere completata. Il cliente attende conferma per procedere con l'ordine ORD-40569. Necessario intevrento urg. per sbloccare il processo di fatturazione.o",Amministrazione,alta,0,355
14,,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 1 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione.,Amministrazione,bassa,0,255
15,,"Data entry: modifica scheda informativa clienet Conti-Pertini s.r.l.. Aggiornamento campi email dtornatore@favata.it e referente giulia.verdi. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background. con crash con timeout - disponibilità",Amministrazione,media,0,311
16,,Nota di aggiornamento anagrafica per cliente Soranzo-Vianello e figli nel sistema assistenza. Insreiti dati nuovo referente operatore_23 a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.,Amministrazione,bassa,0,297
17,,"Il applicativo clienti non risponde alle richieste di accesso da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le aangrafiche clienti e fornitori. Circa 10 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il problema si manifesta in ambiente pre-produzione con timeout continui. - crash per condizioni commerciali",Amministrazione,alta,0,387
18,,"Mancata ricezione notifica approvazione ordine ORD-28863. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatzione non aprte. checkre coed di posta in uscita su ambiente test.. Segnalato anche versione performance",Amministrazione,media,0,260
19,,"Timeout puntuale durnate la ricerca fatture per data. La query va in errore solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione.",Amministrazione,media,0,251
20,,Controllo qualità dati contabili storici per archivio. check di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può rpocedere gradualmente alal validazione dei record passati. - relativo a account,Amministrazione,media,0,284
21,,"issue di visulaizzazione anagrafica cliente Finotto-Pisacane e figli. Alcuni camip (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. eRnde difficile contattare il cliente per sollecito pagmaenti. Bug dell'interfaccia vendite da correggere. con ordine urgentee",Amministrazione,alta,0,272
22,,"Data entry: modifica scheda informativa cilente Gioberti s.r.l.. Aggiornamento campi email elviramunari@falcone.com e referente operatore_23. Modifica puramente formale per completezza anagrafica. Attività amministrativa standadr di basso livello, gestibile in background.",Amministrazione,bassa,0,272
23,,"Il sistema catalogo non risponde lale richieste di accesso da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 4 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il issue si manifesta in ambiente staging con timeout continui. bug per errore critico con errore critico",Amministrazione,alta,0,380
24,,URgente completare la registrazione del pagamento per l'ordine ORD-12228 del cliente Caccioppoli s.r.l.. Il sistema mostra bug ERR_CONNECTION_REFUSED durante l'inserimento dell'importo 0181.1 in vendite. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impedisce conferma ordine e spedizione merce. Richietso supporto tecnico immediato.a,Amministrazione,alta,0,373
25,,Malfunzionamento export Execl per report mensile. La generazione del file si interrompe a metà con bug generico. I dati a video sono corretti. Serev il file esportato per riunione di domani mattina. Workaround richiesto.,Amministrazione,media,0,220
26,,Proposta di manutenzione ordinaria: pulizia accuont inattivi da lungo periodo. Litsa di 6 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione.,Amministrazione,bassa,0,255
27,,"Durante l'elaborazione della fattura 5485/23 per il cliente Caccianemico s.r.l., il sistema magazzino si è bloccato generando err ERR_CONNECTION_REFUSED. L'operazione di registrazoine pagamento di 816.53 non può essere completata. Il cliente tatende conferma per procedere con l'ordine ORD-46659. Necessario intervento uregnte per sbloccare il processo di fatturazione. per bug sconto per bug",Amministrazione,alta,0,392
28,,Controllo qualità dati contabili storici per arhcivio. check di routine sulla coerenaz dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmente alla validazione dei record passati.o,Amministrazione,media,0,264
29,,Nota di aggiornamento anagrafica per cliente Solimena-Blasi Group nel sistema ordini. Inseriti dati nuovo referente giulia.verdi a puro tiotlo informativo per il database. Nessuna azione di sincronizzazione richiseta al momento. Semplice data entry per tenere ordinato lo stoirco contatti.,Amministrazione,bassa,0,289
30,,"Errore validazione codice fiscale per nuovo cliente Speri, Bottaro e Flaiano s.r.l.. Il sistema lo segna come errato anche se è formalmente valido. Impedisce il slavataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione. per performance",Amministrazione,media,0,285
31,,"Problema di visualizzazione anagrafica cliente Lamborghini-Missoni Group. Alcuni camip (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia ordini da correggere. con ordine urgente errore criticoi",Amministrazione,alta,0,290
32,,"Timeout puntuale durante la ricerca fatture per data. La query va in errore solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione.",Amministrazione,media,0,251
33,,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 7 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli tuenti attivi o sul servizio di produzione.,Amministrazione,bassa,0,255
34,,"Timeout puntuale durante la ricerca fatture per data. La query va in errore solo se si selezioan un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione.",Amministrazione,media,0,251
35,,"L'utente admin_01 esgnala lentezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente demo.",Amministrazione,media,0,256
36,,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunizonamenti. Attività di stuido per future ottimizzzaioni, senza impatto attuale.",Amministrazione,bassa,0,268
37,,"Il sistema fatturazione non risponde alle richieste di accesso da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 2 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il problema si manifesat in ambiente pre-produzione con itmeout continui. per disponibilità - sconto",Amministrazione,alta,0,379
38,,"Attività di background: archiviazione documenti storici cliente Antonelli, Trebbi e Pedersoli e ifgli per anno 1917. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database. con sconto errore critico sconto",Amministrazione,alta,0,381
39,,Procedura di backup storico: export fatture anno 9194 per archivio sicurezza. Generazione file statico in formato xEcel da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve sool per compliance e non per attività correnti.,Amministrazione,bassa,0,268
40,,"Proposta di manutenzione ordinaria: pulizia acocunt inattivi da lungo periodo. Lista di 2 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione., problema su  grazie mille",Amministrazione,media,0,282
41,,"Problema di visualizzazione anagrafica cliente Spallanzani s.r.l.. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia fatturazione da correggere. sconto per negoziazione sincronizzazione",Amministrazione,media,0,295
42,,"L'account giulia.verdi risulta bloccato per troppi tentativi di accesos errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un pb di applicativo generalizzato, solo utenza singola. con condizioni commerciali con login fallito",Amministrazione,alta,0,297
43,,Richiesta estrazione dati statistici su utilizzo licenze Linea Pro. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono. - relativo a cliente - performance con memory leak,Amministrazione,bassa,0,303
44,,"Monitoraggio passivo dei log modulo gestione utenti per statisticeh utilizzo. Analisi a posteriori dei traccaiti per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.. Segnalato anche email",Amministrazione,bassa,0,291
45,,"L'account utente mario.rossi risulta bloccato dal sistema fatturazione con err ""ERR_TIMEOUT"". L'utente deve urgentemente accedree per completare l'elaborazione delle fatture per il cliente Salvini-Serao SPA. Il blocco sta impattando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tecnico immediato per ripristino accesso entro in giornata.. Segnalato anche analisi",Amministrazione,alta,0,404
46,,Nota di aggiornmaento anagrafica per cliente Cavalcanti-Pinamonte Group nel sistema fatturazione. Inseriti dati unovo referente mario.rossi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Sempilce data entry per tenere ordinato lo storico contatti. timeout con performancei,Amministrazione,media,0,325
47,,"Attività di background: archiviazione documenti storici cliente Casadei SPA per anno 1993. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database.",Amministrazione,bassa,0,322
48,,"Duranet l'elaborazione della fattrua 6907/21 per il cliente Paoletti, Maspero e Zaccagnini e figli, il sys. assistenza si è bloccato generando problem 504. L'operazione di registrazione pagamento di 1296.65 non può essere completata. Il cliente attende conferma per procedere con l'ordine ORD-25124. Necessario intervento urgent per sbloccare il processo di fatturazione.",Amministrazione,alta,0,371
49,,"Discrepanza IVA su afttura estera 4916/20. Il sys calcola un importo diverso da quello atteso per il cliente Tencalla e figli. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo magazzino. per login fallito per bug",Amministrazione,media,0,282
50,,"L'account utente admin_01 risulta bloccato dal sistema catalogo con errore ""500"". L'tuente deve ASAPmente accedere per ocmpletare l'leaborazione delle fatture per il cliente Ferrazzi-Ramazzotti e figli. Il blocco sta ipmattando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tecnico immediato per ripristino accesso entro in giornata.",Amministrazione,alta,0,374
51,,"Dpulicazione righe in visualzizazione estratto conto Petrucci s.r.l.. Le fatture appaiono due volte nella lista a video. Il slado finale è corretto, è solo un errore visivo che confonde gli operatori. Richiesta pulizia della view nel modulo reportistica., problema su non funziona con disponibilità - bug",Amministrazione,media,0,304
52,,"Discrepanza IVA su fattura estera 8232/20. Il sys. calcola un importo diverso da quello atteso per il cleinte Amald,i Vespucci e Letta SPA. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliuqote nel modulo clienti.z",Amministrazione,media,0,268
53,,Richiesta estrazione dati statistici su utilizzo licenze Linea Preimum. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.,Amministrazione,bassa,0,256
54,,"Daat entry: modifica scheda informativa cliente Battagli-aFantini s.r.l.. Aggiornamento campi email torquat3o5@samele.eu e referente admin_01. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livell,o gestibile in background., problema su sistema",Amministrazione,media,0,294
