id,title,body,category,priority,title_length,body_length
1,Timeout ricerca: impossibile filtrare fatture > 30 giorni,"Mancato allineamento incassi: il bonifico di 520.56 non risulta in contabiltià. In banca è presente, ma il modulo magazzino non lo ha importato automaticamente. Necessario inserimento manuale o forzatura ysnc per chiudere la posizione del cliente Rizzoli SAP. Il problema riguarda solo i bonifici di ieri.",Amministrazione,media,57,305
2,Task: aggiornamento anagrafica pianificato,"Duplicazione righe in visualzizazione estratto conto Vitturi Group. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è solo un err visivo che confonde gli operatori. Richiesta pulizia della view nel modulo caatlogo.",Amministrazione,bassa,42,245
3,URGENTE: Account bloccato admin_01 - errore ERR_CONNECTION_REFUSED su sistema vendite per condizioni commerciali,"Problema di visualizzazione anagrafica cliente Vigliotti-Sokolov s.r.l.. Acluni acmpi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia vendite da correggere. gestione",Amministrazione,alta,112,264
4,Discrepanza contabile: bonifico 384.66 non visibile (chiusura bloccata) con bug con sincronizzazione,"Impossibile allegare PDF al record della fattura 9621/21. Il bottone 'Upload' non risponde o dà errore di permessi. Il documento deve essere archiviato digitalmente entro fien mese. Problema limitato alla funzione di upload, il resto funziona. negoziazione",Amministrazione,media,100,256
5,Blocco sistema durante elaborazione fatt. 9464/21 per Borgia e figli,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo peridoo. Lista di 9 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione.e,Amministrazione,bassa,68,256
6,Task: aggiornamento anagrafica pianificato con memory leak performance con ordine urgente,"L'account mario.orssi risulta bloccato per troppi tentativi di access errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un problema di applicativo generalizzato, solo utenza singola.m",Amministrazione,alta,89,257
7,Task: aggiornamento anagrafica pianificato con disponibilità,Controllo qualità dati contabili storici per archivio. check di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmente alla validazione dei record passati. condizioni commerciali con bug,Amministrazione,media,60,294
8,Funzione rotta: tasto upload PDF non cliccabile,"Data entry: modifica scheda informativa cliente Monte-Nitti Grou.p Aggiornamento campi email puccio31@aloisio-giannotti.eu e referente mario.rossi. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, getsibile in background. - relativo a accesso - performancen",Amministrazione,bassa,47,314
9,Monitoraggio: log modulo utenti (nessun errore) per crash,"L'account utente operatore_23 risulta bloccato dal sistema ordini con errore ""503"". L'utente deve urgentmente accedere per completare 'lelaborazione delle fatture per il cliente Botticelli-Ceravolo Group. Il blocco sta imptatando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tecnico immediato per ripristino access entro entro oggi. timeout disponibilità",Amministrazione,alta,57,396
10,Mancata notifica: email approvazione persa (processo fermo) bug per sincronizzazione per preventivo,"Timeout puntulae durante la ricerca fatture per data. La query va in error solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione. - sconto con bug performance",Amministrazione,media,99,279
11,Account bloccato: utente giulia.verdi fermo (troppi tentativi) performance con condizioni commerciali per listino,"Discrepanza IVA su fattura estera 4511/22. Il sistema calcola un importo diverso da quello atteso per il cliente Agostini, Gentileschi e Romano s.r.l.. Differenza di pochi euro, ma impedisce la validazione contabile. Richietsa verifica configurazione aliquote nel modulo magazzino.",Amministrazione,alta,113,281
12,Batch: consolidamento dati contabili,Nota di aggiornamento anagrafica per cliente Brugnaro SPA nel sistema vendiet. Inseriti dati nuovo referente giulia.verdi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al mmoento. Semplice data entry per tenere ordinato lo storico contatti. con condizioni commerciali,Amministrazione,bassa,36,309
13,Rallentamento fatzione: salvataggio impiega 40 secondi (troppo) - crash - timeout memory leak,Richiesta estrazione dati statsitici su utilizzo licenze Linea Basic. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono. controllo,Amministrazione,media,93,264
14,Log: inserimento anagrafica Aporti s.r.l.,"Macnata ricezione notifica approvazione ordine ORD-34651. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatt.zione non part.e Verificare code di opsta in uscita su ambiente pre-produzione.",Amministrazione,media,41,237
15,Manutenzione: pulizia account inattivi,Nota di aggiornamento anagrafica per cliente Pisano-Montanariello SPA nel sys. fatturazione. Inseriti dati nuovo referente admin_01 a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti. - relativo a accesso,Amministrazione,bassa,38,313
16,Batch: consolidamento dati contabili - sconto,"Il system reportistica non risponde alle richietse di access da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 4 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il problema si manifesta in ambiente sviluppo con timeout continui.",Amministrazione,alta,45,344
17,Bug interfaccia: anagrafica Casadei-Endrizzi s.r.l. illeggibile (campi vuoti) - disponibilità timeout listino,"Timeout puntuale duranet la ricerca fatture per data. La query va in err. solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione.",Amministrazione,media,109,249
18,Blocco sistema durante elaborazione fattura 6436/24 per Tamburello e figli,"Mancato allineamento incassi: il bonifico di 960.48 non risulta in contabilità. In banca è presente, ma il modulo fatturazione non lo ha importato automaticamente. Necessario inserimento manaule o forzatura sync per chiudere la posizione del cliente Tamburello e figli. Il problema riguarda solo i bonifici di ieri. login fallito - login fallito",Amministrazione,media,74,345
19,Mancata notifica: email approvazione persa (processo fermo),"Data entry: modifica scheda informativa cliente Mortati s.r.l.. update campi email onistomaria@schiaparelli.com e referente giulia.verdi. Modifica puarmente formale per completezza anagrafica. Attività ammiinstrativa standard di basso livello, gestibile in background. per sconto",Amministrazione,bassa,59,279
20,Mancata notifica: email approvazione persa (processo fermo),Procedura di backup storico: export fatture anno 2016 per archivio sicurezza. Generazione file statico in formato CSV da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve solo per compliance e non per attività correnti.,Amministrazione,bassa,59,266
21,URGENTE: Account bloccato mario.rossi - errore ERR_TIMEOUT su sys. ordini - login fallito - ordine urgente,"Mancata ricezione notifica approvazione ordine ORD-10688. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. Verificare code di posta in uscita su ambiente pre-produzione. con errore critico",Amministrazione,alta,106,258
22,Errore critico: impossibile completare pagamento ordine ORD-15053,"Timeout puntuale durante la ricerca fatture per data. La query va in err. sool se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione. con sincronizzazione disponibilità",Amministrazione,alta,65,284
23,Manutenzione: pulizia account inattivi per negoziazione crash - negoziazione,"Mancata ricezione notifica approvazione ordine ORD-4793.7 Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. checkre code di posta in uscita su ambiente produzione. con sincronizzazione con memory leak - condizioni commerciali",Amministrazione,media,76,294
24,Archivio: documentazione storica 1991,Nota di aggiornamento anagrafica per cliente Gaggini-Guarneri Group nel sys. fatturazione. Inseriti dati nuovo referente mario.rossi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiseta al momento. Semplice data entry per tenere ordinato lo storico contatti.,Amministrazione,bassa,37,293
25,Rallentamento fatturazione: salvataggio impiega 40 secondi (troppo),Malfunzionamneto export Excel per report mensile. La generazione del file si interrompe a metà con errore generico. I adti a vidoe sono corretti. Serve il ifle esportato per riunione di domani mattina. Workaround richiesto. con condizioni commerciali per bug con crash,Amministrazione,media,67,268
26,Account bloccato: utente giulia.verdi fermo (troppi tentativi),"Errore di stampa isolato: impossibile stampare la fatt. 7908/23. Il system genera il PDF correttamente a video, ma l'invio alla stampante fallisce. lAtre fatture vnegono stampate regolarmente. Il cliente Cibin-Morlacchi Group è in attesa del cartaceo per il ritiro merce. con ordine urgente per memory leak sconto",Amministrazione,alta,62,313
27,Export fallito: report mensile si blocca a metà (serve urgente),"Problema di ivsualizzazione anagrafica cliente Gucci-Serao e figli. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficlie contattare il cliente per sollecito pagamenti. Bug dell'interfaccia magazzino da correggere.. Segnalato anche  cc: direttore - timeout per memory leak",Amministrazione,alta,63,310
28,Backup: storico fatture 2019,Richiesta estrazione dati statistici su utilizzo licenze Linea Premium. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono. con errore critico per listino per timeout,Amministrazione,alta,28,299
29,Rallentamento fatturazione: salvataggio impiega 40 secondi (troppo),Procedura di backup storico: export fatture anno 1993 per archivio sicurezza. Generazione file statico in formato PDF da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve solo per compliance e non per attività correnti.. Segnalato anche utente,Amministrazione,media,67,290
30,Monitoraggio: log modulo utenti (nessun err),Procedura di backup storico: export fatture anno 1981 per archivio sicurezza. Generazione file statico in formato Excel da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve solo per compliance e non per attività correnti.. Segnalato anche contratto per listino sconto con login fallito,Amministrazione,bassa,44,332
31,Errore stampa: impossibile stampare fatt. 7463/21 (cliente aspetta),"Attività di background: archiviazione documenti storici cliente Vento, Falloppio e Ritacca e figli per anno 2012. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il atsk può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database.",Amministrazione,media,67,345
32,Archivio: documentazione storica 1995,"Problema di visualizzazione anagrafica cliente Brenna-Berlusconi e figli. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia clienti da correggere. documento",Amministrazione,media,37,266
33,Archivio: documentazione storica 1999,Nota di aggiornamento anagrafica per cliente Cadorna e figli nel sistema catalogo. Inseriti dati nuovo referente mario.rossi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.,Amministrazione,bassa,37,285
34,Errore calcolo IVA: importo errato su fattura estera (non validabile) - ordine urgente per disponibilità con negoziazione,"Data entry: modifica scheda informativa cliente Blasi, Comolli e Leopardi Group. Aggiornamento campi email lazzaro08@napolitano.it e referente admin_01. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background.e",Amministrazione,alta,121,284
35,Funzione rotta: tasto upload PDF non cliccabile timeout con memory leak sincronizzazione,"Data entry: modifica scheda informativa cliente Malatesta-Cutuli e figli. Aggiornamento campi email rosario57@benigni-totino.com e referente giulia.verdi. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background.",Amministrazione,media,88,285
36,err. calcolo IVA: importo errato su fatt. estera (non validabile) con performance per disponibilità,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identiifcare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale. accounta",Amministrazione,bassa,99,277
37,bug stampa: impossibile stampare fattura 4835/21 (cliente aspetta),"Duplicazione righe in visualizzazione estratto conto Sabbatini-Bonanno s.r.l.. Le fatture appaiono due volet nella lista a viedo. Il saldo finale è corretto, è solo un errore visivo che cnofonde gli operatori. Richiesta pulizia della view nel modulo fatturazione.",Amministrazione,media,66,263
38,Backup: storico fatture 1971 - disponibilità,"Monitoraggio psasivo dei log modulo gestione uetnti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.",Amministrazione,bassa,44,268
39,Manutenzione: pulizia account inattivi,"Il sys. vendite non risponde alle richieste di access da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 4 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il issue si manifesta in ambiente pre-produzione con timeout continui. con condizioni commerciali per listino per performance",Amministrazione,alta,38,395
40,Anomalia visiva: duplicazione righe estratto conto (confusione) per listino,Procedura di backup storico: export fatture anno 2105 per archivio sicurezza. Generazione file statico in formato PDF da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve solo per compliance e non per attiivtà correnti.,Amministrazione,media,75,266
41,Backup: storico fatture 2016,"Il sistema clineti non risponde alle richieste di accesso da parte degli utenti amministrativi. Abbiamo la produizone ferma: impossibile gestire le anagrafiche cleinti e fornitori. Circa 6 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gsetione documenti. Il prolbema si manifesta in ambiente produzione con timeout continui., problema su documento - disponibilità",Amministrazione,media,28,382
42,Account bloccato: utente operatore_23 fermo (troppi tentativi) con condizioni commerciali listino,urgent completare la registrazione del pagamento per l'ordine ORD-54147 del cliente Malpighi s.r.l.. Il system mostra problem SQL_ERROR_1045 durante l'inserimento dell'importo 950.73 in assistenza. Il bnoifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impedisce conferma ordien e spedizione merec. Richiesto supporto tecnico immediato.,Amministrazione,alta,97,366
43,Manutenzione: pulizia account inattivi,Nota di aggiornamento anagrafica per cliente Federici SPA nel sistema magazzino. Inseriti dati nuovo referente operatoer_23 a puro titloo informativo per il database. Nessuna azione di sincronizzazione rcihiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.,Amministrazione,bassa,38,284
44,Log: inserimento anagrafica Mazzocchi Group,Controllo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività correnet e non richiede correzioni urgenti. Si può procedere gradualmente alla validazione dei record passati. memory leak,Amministrazione,media,43,278
45,Discrepanza contabile: bonifico 152.95 non visibile (chiusura bloccata),Controllo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmenet alla validaizone dei record passati.,Amministrazione,media,71,266
