id,title,body,category,priority,title_length,body_length
1,,"Timeout puntuale durante la ricerca fatture per data. La query va in errore solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a frae ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione., problema su email bug",Amministrazione,media,0,274
2,,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.  grazie mille",Amministrazione,bassa,0,282
3,,"L'account utente giulia.verdi risulta bloccato dal sys vendite con errore ""ERR_TIMEOUT"". L'utente deev urgentemente accedere per completare l'elaborazione delle fatture per il cliente Fracci e figli. Il blocco sta impattando le operazioni di cihusura ordini e l'invio documenti contabili. Si richiede intervento tecnico immediato per ripristino accesso entor entro oggi.",Amministrazione,alta,0,370
4,,"L'utente admin_01 segnala lentezza esasperante nel moudlo fatturazione. Il salvataggio di ogni fattura ipmiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. eNcessaria veriifca performance database o rete su ambiente test.b",Amministrazione,media,0,257
5,,Richiesta estrazione dtai statistici su utilizzo licenze Linea Basic. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.,Amministrazione,bassa,0,254
6,,"L'account utente admin_01 risulta bloccato dal applicativo ordini con bug ""504"". L'utente deve urgentmente accedere per completare l'elaborazione delle fatture per il cliente Malenchini SPA. Il blocco sta impattando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tecnico immediato per ripristino access entro in giornata. urgente",Amministrazione,alta,0,369
7,,Controllo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioin urgenti. Si può procedere gradualmente alla validazione dei record passati.,Amministrazione,media,0,266
8,,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.",Amministrazione,bassa,0,268
9,,"L'account mario.rossi risulta bloccato per troppi tentativi di accesso errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un problema di sistema generalizzato, sloo utenza singola.",Amministrazione,alta,0,253
10,,"Discrepanza IVA su fat estera 1917/20. Il sys. calcola un importo diverso da quello atteso per il cliente Campano e filgi. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta check configurazione aliquote nel modulo assistenza.  richiesta esterna",Amministrazione,media,0,269
11,,"Il sistema vendite non risponde alle richieste di acc. da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 2 utenti lboccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il issue si manifesta in ambiente pre-produzione con timeout continui.",Amministrazione,alta,0,341
12,,Nota di update anagrafica per cliente Fo-Manolesso s.r.l. nel sistema catalogo. Inseriti dati nuovo referente giulia.verdi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Sempliec dtaa entry per tenere ordinato lo storico contatti.  [vedi nota allegata]e,Amministrazione,bassa,0,306
13,,"Timeout puntuale durante la ricerca fatture per data. La query va in errore solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione.",Amministrazione,media,0,251
14,,"Discrepanza IVA su fattura estera 9324/24. Il sistema calcola un importo diverso da quello atteso per il cliente Lippomano s.r.l.. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo ordini.. Segnalato anche analisic",Amministrazione,media,0,283
15,,Richiesta estrazione dati statistici su utilizzo licenze Linea Por. Il report serve esclusivamente per proiezioni di budget anno prossimo (suo interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.i,Amministrazione,bassa,0,253
16,,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 8 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione. preventivo,Amministrazione,bassa,0,266
17,,"L'account giulia.verdi riuslta bloccato per troppi tentativi di login errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un pb. di sistema generalizzato, solo utenza sinogla.",Amministrazione,alta,0,247
18,,"issue di visualizzazione anagrafica cliente Palombi, Jovinelli e Storladi e figli. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia assistenza da correggere.",Amministrazione,media,0,268
19,,"Discrepanza IVA su fat estera 6851/21. Il sistema calcola un importo diverso da quello atteso per il cliente Foletti-Condoleo Group. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo assistenza.",Amministrazione,media,0,263
20,,"L'account mario.rossi risulta bloccato per troppi tentativi di access errati. Serve sblocco manaule da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un pb di sistema generalizzato, solo tuenza singola. per preventivo per performance - condizioni commercialit",Amministrazione,alta,0,303
21,,"Il sistema reportistica non risponde alle richieste di access da parte degli utenti amministratvii. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 10 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il pb si manifesta in ambiente produzione con timeout continui.. Segnalato anche modulo con ordine urgente - negoziazione",Amministrazione,alta,0,400
22,,Nota di aggiornamento anagrafica per cliente Renault-Casalodi s.r.l. nel sys fatturazione. Inseriti dati nuovo referente operatore_23 a puro titolo informativo per il database. Nessuna zaione di sincronizzazione richiesat al momento. Semplice data entry per tenere ordinato lo storico contatti.s,Amministrazione,bassa,0,295
23,,"Impossibile allegare PDF al record della fattura 2477/24. Il bottone 'Upload' non risponde o dà error di permessi. Il documento deve essere archiviato digitalmente entro fine mese. issue limitato alla funzione di upload, il resto funziona. - relativo a  [vedi nota allegata]",Amministrazione,media,0,274
24,,"Attività di background: rachiviazione documenti storici cliente Liguori SPA per anno 1970. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio omrto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database.a",Amministrazione,bassa,0,323
25,,"L'utente mario.rossi esgnala lentezza esasperante nel modulo fatzione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente staging.",Amministrazione,media,0,258
26,,"Timeout puntuale durante la ricerca fatture per data. La query va in problem solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione. - sconto per login fallitoo",Amministrazione,media,0,280
27,,"L'account uetnte admin_01 risulta bloccato dal sistema fatturazione con err. ""SQL_ERROR_1045"". L'utente deve urgentemente accedere per completare l'elaborazione delle fatture per il cliente Martinelli, Bonanno e Storladi Group. Il blocco sta impattando le operazioni di chiusura ordini e l'inivo documenti contabili. Si richiede intervento tecnico immediato per ripristino acc. entro in giornata.",Amministrazione,alta,0,396
28,,"error di stampa isolato: impossibile stampare la fattura 6786/21. Il sistema genera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolarmente. Il cliente Ceci, Tomasini e Mazzocchi Group è in attesa del cartaceo per il ritiro merce. disponibilità con preventivo",Amministrazione,media,0,313
29,,Rihciesta estrazione dati statistici su utilizzo licenze Linea Accessori. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza opeartiva immediata. Elaborazione da fare offline quando le risorse lo permettono.,Amministrazione,bassa,0,258
30,,"Errore di stampa isolato: impossibile stampare la fat 8443/22. Il sys. genera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolaremnte. Il cliente Bassi Group è in attesa del cartaceo per il ritiro merce.",Amministrazione,media,0,257
31,,"Timeout pnutuale durante la riecrca fatture per data. La query va in errore solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione.",Amministrazione,media,0,251
32,,"Manctao allineamento incassi: il bonifico di 879.91 non risulta in contabilità. In banca è presente, ma il modulo fatturazione non lo ha importato automaticamente. Necessario inserimento manuale o forzatura sync per chiudere la posizione del cliente Iadanza, Quasimodo e Carosone SPA. Il problema riguarda solo i bonifici di ieri.",Amministrazione,media,0,330
33,,Procedura di backup storico: export fatture anno 2023 per archivio sicurezza. Generazione file statico in formato PDF da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve solo per compliance e non per attività correnit.,Amministrazione,bassa,0,266
34,,URgente completare la registrazione del pagamento per l'ordine ORD-88093 del cliente Pedrazzini-Galvani s.r.l.. Il system mostra errore 502 durante l'inserimento dell'importo 722.17 in reportistica. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impedisce conferma ordine e spedizione merce. Richiesto supporto tecnico immediato.a,Amministrazione,alta,0,368
