id,title,body,category,priority,title_length,body_length
1,Monitoraggio: log modulo utenti (nessun problem),"L'tuente operatore_23 segnala elntezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente produzione.",Amministrazione,media,48,266
2,Mancata notifica: email approvazione persa (processo fermo) con condizioni commerciali,"Attività di background: archiviazione documenti storici cliente Chigi SPA per anno 2024. Si tratat di spostare vecchi file (fatture, contratti) nell'arcihvio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database. crash per preventivo - memory leako",Amministrazione,bassa,86,356
3,Discrepanza contabile: bonifico 990.55 non visibile (chiusura bloccata) errore critico bug con errore critico,Malfunzionamento export Excel per report mensile. La generazione del file si interrompe a metà con errroe generico. I dati a video sono corretti. Serve il file esportato per riunione di domani mattina. Workaround richiesto. - relativo a  help! - ordine urgente,Amministrazione,alta,109,260
4,bug validazione: codice fiscale corretto rifiutato dal sys. - condizioni commerciali,"Impossibile allegare PDF al record della fattura 7067/21. Il bottone 'Upload' non risponde o dà errore di permessi. Il documento deve essere archiviato digitalmente entro fine mese. issue limitato alla funzione di upload, il resto funziona.",Amministrazione,media,84,240
5,urgentissimo: Account bloccato operatore_23 - errore ERR_CONNECTION_REFUSED su sys. reportistica - login fallito,"Duplicazione righe in visualizzazione estratto conto Tomaselli s.r.l.. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è solo un errore visivo che confonde gli operatori. Richiesta pulizia della ivew nel modulo reportistica. memory leak per sincronizzazione - negoziazione",Amministrazione,alta,112,303
6,Batch: consolidamento dati contabili,Proposta di manutenzione ordinaria: pulizia account intativi da lungo periodo. Lista di 7 utenti che non accedono da msei. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzioen.,Amministrazione,bassa,36,255
7,Task: aggiornamento anagrafica pianificato,"L'utente admin_01 segnlaa lentezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 3-040 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente pre-produzione. - relativo a  richiesta esterna - condizioni commerciali per listino",Amministrazione,media,42,335
8,Info: statistiche licenze Linea Accessori,"L'account giulia.verdi risulta blcocato per troppi tentativi di accesso errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un issue di applicativo generalizzato, solo utenza singola.",Amministrazione,bassa,41,255
9,problem validazione: codice fiscale corretto rifiutato dal applicativo con performance per bug per crash,"Il sistema clienti non risponde alle richieste di access da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 1 utenti bloccati, nessuno riesce ad accedeer alle funzionalità di gestione documenti. Il issue si manifesta in ambiente pre-produzione con timeout continui.. Segnalato anche pagamento",Amministrazione,alta,104,370
10,Monitoraggio: log modulo utenti (nessun errore) per sconto - condizioni commerciali performance,Controllo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può proecdere gradualmente alla validazione dei record passati. analisi,Amministrazione,media,95,274
11,Backup: storico fatture 2002 - listino per preventivo,Controllo qualità dtai contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmente alla validazione dei record passati. con sincronizzazione con errore critico per negoziazione,Amministrazione,alta,53,323
12,Discrepanza contabile: bonifico 1106.92 non visibile (chiusura bloccata),"err di stampa isolato: impossibile stampare la fattura 2740/23. Il sistema egnera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolarmente. Il cleinte Giannelli, Forza e Soderini Group è in attesa del cartaceo per il ritiro merce. con errore critico",Amministrazione,alta,72,302
13,Backup: storico fatture 1975 disponibilità,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 2 utenti che non accedono da mesi. Attività di igiene del adtabase da schedulare come task di routine. Nessun impatto sugli utenti attiiv o sul servizio di produzione.n,Amministrazione,bassa,42,256
14,Info: statistiche licenze Linea Pro con condizioni commerciali,"Errore validazione codice fiscale per nuvoo clinete Pincherle, Lercari e Paganini e figli. Il sistema lo segna come errato anche se è formalmente valido. Impedisec il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione.r",Amministrazione,media,62,276
15,Errore stampa: impossibile stampare fatt. 5746/22 (cliente aspetta),Richiesta estraizone dati statistici su utilizzo licenze Linea Enterprise. Il report esrve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono. - disponibilità - bug,Amministrazione,media,67,281
