id,title,body,category,priority,title_length,body_length,text,text_clean,len_words_raw,len_words_clean,split
1,Monitoraggio: log modulo utenti (nessun problem),"L'tuente operatore_23 segnala elntezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente produzione.",Amministrazione,media,48,266,"Monitoraggio: log modulo utenti (nessun problem) L'tuente operatore_23 segnala elntezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente produzione.",monitoraggio log modulo utenti nessun problem l tuente operatore_23 segnala elntezza esasperante nel modulo fatturazione il salvataggio di ogni fattura impiega 30 40 secondi non è un blocco totale ma dimezza la produttività dell ufficio necessaria verifica performance database o rete su ambiente produzione,41,44,test
2,Mancata notifica: email approvazione persa (processo fermo) con condizioni commerciali,"Attività di background: archiviazione documenti storici cliente Chigi SPA per anno 2024. Si tratat di spostare vecchi file (fatture, contratti) nell'arcihvio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database. crash per preventivo - memory leako",Amministrazione,bassa,86,356,"Mancata notifica: email approvazione persa (processo fermo) con condizioni commerciali Attività di background: archiviazione documenti storici cliente Chigi SPA per anno 2024. Si tratat di spostare vecchi file (fatture, contratti) nell'arcihvio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database. crash per preventivo - memory leako",mancata notifica email approvazione persa processo fermo con condizioni commerciali attività di background archiviazione documenti storici cliente chigi spa per anno 2024 si tratat di spostare vecchi file fatture contratti nell arcihvio morto per liberare spazio nessuna urgenza operativa il task può girare nei momenti di inattività del sistema operazione di manutenzione ordinaria del database crash per preventivo memory leako,60,60,train
3,Discrepanza contabile: bonifico 990.55 non visibile (chiusura bloccata) errore critico bug con errore critico,Malfunzionamento export Excel per report mensile. La generazione del file si interrompe a metà con errroe generico. I dati a video sono corretti. Serve il file esportato per riunione di domani mattina. Workaround richiesto. - relativo a  help! - ordine urgente,Amministrazione,alta,109,260,Discrepanza contabile: bonifico 990.55 non visibile (chiusura bloccata) errore critico bug con errore critico Malfunzionamento export Excel per report mensile. La generazione del file si interrompe a metà con errroe generico. I dati a video sono corretti. Serve il file esportato per riunione di domani mattina. Workaround richiesto. - relativo a  help! - ordine urgente,discrepanza contabile bonifico 990 55 non visibile chiusura bloccata errore critico bug con errore critico malfunzionamento export excel per report mensile la generazione del file si interrompe a metà con errroe generico i dati a video sono corretti serve il file esportato per riunione di domani mattina workaround richiesto relativo a help ordine urgente,55,54,train
4,bug validazione: codice fiscale corretto rifiutato dal sys. - condizioni commerciali,"Impossibile allegare PDF al record della fattura 7067/21. Il bottone 'Upload' non risponde o dà errore di permessi. Il documento deve essere archiviato digitalmente entro fine mese. issue limitato alla funzione di upload, il resto funziona.",Amministrazione,media,84,240,"bug validazione: codice fiscale corretto rifiutato dal sys. - condizioni commerciali Impossibile allegare PDF al record della fattura 7067/21. Il bottone 'Upload' non risponde o dà errore di permessi. Il documento deve essere archiviato digitalmente entro fine mese. issue limitato alla funzione di upload, il resto funziona.",bug validazione codice fiscale corretto rifiutato dal sys condizioni commerciali impossibile allegare pdf al record della fattura 7067 21 il bottone upload non risponde o dà errore di permessi il documento deve essere archiviato digitalmente entro fine mese issue limitato alla funzione di upload il resto funziona,47,47,train
5,urgentissimo: Account bloccato operatore_23 - errore ERR_CONNECTION_REFUSED su sys. reportistica - login fallito,"Duplicazione righe in visualizzazione estratto conto Tomaselli s.r.l.. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è solo un errore visivo che confonde gli operatori. Richiesta pulizia della ivew nel modulo reportistica. memory leak per sincronizzazione - negoziazione",Amministrazione,alta,112,303,"urgentissimo: Account bloccato operatore_23 - errore ERR_CONNECTION_REFUSED su sys. reportistica - login fallito Duplicazione righe in visualizzazione estratto conto Tomaselli s.r.l.. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è solo un errore visivo che confonde gli operatori. Richiesta pulizia della ivew nel modulo reportistica. memory leak per sincronizzazione - negoziazione",urgentissimo account bloccato operatore_23 errore err_connection_refused su sys reportistica login fallito duplicazione righe in visualizzazione estratto conto tomaselli s r l le fatture appaiono due volte nella lista a video il saldo finale è corretto è solo un errore visivo che confonde gli operatori richiesta pulizia della ivew nel modulo reportistica memory leak per sincronizzazione negoziazione,57,56,train
6,Batch: consolidamento dati contabili,Proposta di manutenzione ordinaria: pulizia account intativi da lungo periodo. Lista di 7 utenti che non accedono da msei. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzioen.,Amministrazione,bassa,36,255,Batch: consolidamento dati contabili Proposta di manutenzione ordinaria: pulizia account intativi da lungo periodo. Lista di 7 utenti che non accedono da msei. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzioen.,batch consolidamento dati contabili proposta di manutenzione ordinaria pulizia account intativi da lungo periodo lista di 7 utenti che non accedono da msei attività di igiene del database da schedulare come task di routine nessun impatto sugli utenti attivi o sul servizio di produzioen,44,44,test
7,Task: aggiornamento anagrafica pianificato,"L'utente admin_01 segnlaa lentezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 3-040 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente pre-produzione. - relativo a  richiesta esterna - condizioni commerciali per listino",Amministrazione,media,42,335,"Task: aggiornamento anagrafica pianificato L'utente admin_01 segnlaa lentezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 3-040 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente pre-produzione. - relativo a  richiesta esterna - condizioni commerciali per listino",task aggiornamento anagrafica pianificato l utente admin_01 segnlaa lentezza esasperante nel modulo fatturazione il salvataggio di ogni fattura impiega 3 040 secondi non è un blocco totale ma dimezza la produttività dell ufficio necessaria verifica performance database o rete su ambiente pre produzione relativo a richiesta esterna condizioni commerciali per listino,49,51,train
8,Info: statistiche licenze Linea Accessori,"L'account giulia.verdi risulta blcocato per troppi tentativi di accesso errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un issue di applicativo generalizzato, solo utenza singola.",Amministrazione,bassa,41,255,"Info: statistiche licenze Linea Accessori L'account giulia.verdi risulta blcocato per troppi tentativi di accesso errati. Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un issue di applicativo generalizzato, solo utenza singola.",info statistiche licenze linea accessori l account giulia verdi risulta blcocato per troppi tentativi di accesso errati serve sblocco manuale da parte dell amministratore l utente deve completare l inserimento ordini entro sera non è un issue di applicativo generalizzato solo utenza singola,38,43,train
9,problem validazione: codice fiscale corretto rifiutato dal applicativo con performance per bug per crash,"Il sistema clienti non risponde alle richieste di access da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 1 utenti bloccati, nessuno riesce ad accedeer alle funzionalità di gestione documenti. Il issue si manifesta in ambiente pre-produzione con timeout continui.. Segnalato anche pagamento",Amministrazione,alta,104,370,"problem validazione: codice fiscale corretto rifiutato dal applicativo con performance per bug per crash Il sistema clienti non risponde alle richieste di access da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 1 utenti bloccati, nessuno riesce ad accedeer alle funzionalità di gestione documenti. Il issue si manifesta in ambiente pre-produzione con timeout continui.. Segnalato anche pagamento",problem validazione codice fiscale corretto rifiutato dal applicativo con performance per bug per crash il sistema clienti non risponde alle richieste di access da parte degli utenti amministrativi abbiamo la produzione ferma impossibile gestire le anagrafiche clienti e fornitori circa 1 utenti bloccati nessuno riesce ad accedeer alle funzionalità di gestione documenti il issue si manifesta in ambiente pre produzione con timeout continui segnalato anche pagamento,65,66,train
10,Monitoraggio: log modulo utenti (nessun errore) per sconto - condizioni commerciali performance,Controllo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può proecdere gradualmente alla validazione dei record passati. analisi,Amministrazione,media,95,274,Monitoraggio: log modulo utenti (nessun errore) per sconto - condizioni commerciali performance Controllo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può proecdere gradualmente alla validazione dei record passati. analisi,monitoraggio log modulo utenti nessun errore per sconto condizioni commerciali performance controllo qualità dati contabili storici per archivio verifica di routine sulla coerenza dei vecchi movimenti di anni passati non blocca nessuna attività corrente e non richiede correzioni urgenti si può proecdere gradualmente alla validazione dei record passati analisi,50,49,train
